file1 lhs0909009sm2.mpg NOT FOUND in XML
file2 lhs1209036w2.aes.mpg NOT FOUND in XML
file3 lhs128074w2.aes.mpg NOT FOUND in XML
file1 lh0812082008.mp3 not found in /root/medialab/
file2 lh0812082009.mp3 not found in /root/medialab/
file3 lh0812082010.mp3 not found in /root/medialab/
file4 lh0812082011.mp3 not found in /root/medialab/
file5 lh0812084001.mp3 not found in /root/medialab/
file6 lh0812084002.mp3 not found in /root/medialab/
file7 lh0812084003.mp3 not found in /root/medialab/
file8 lh0812084004.mp3 not found in /root/medialab/
file9 lh0812084005.mp3 not found in /root/medialab/
file10 lh0812084006.mp3 not found in /root/medialab/
file11 lh0812084007.mp3 not found in /root/medialab/
file12 lh0812084008.mp3 not found in /root/medialab/
file13 lh0812086001.mp3 not found in /root/medialab/
file14 lh0812086002.mp3 not found in /root/medialab/
file15 lh0812086003.mp3 not found in /root/medialab/
file16 lh0812086004.mp3 not found in /root/medialab/
file17 lh0812086005.mp3 not found in /root/medialab/
file18 lh0812086006.mp3 not found in /root/medialab/
file19 lh0812086007.mp3 not found in /root/medialab/
file20 lh0812086008.mp3 not found in /root/medialab/
file21 lh0812086009.mp3 not found in /root/medialab/
file22 lh0812088001.mp3 not found in /root/medialab/
file23 lh0812088002.mp3 not found in /root/medialab/
file24 lh0812088003.mp3 not found in /root/medialab/
file25 lh0812088004.mp3 not found in /root/medialab/
file26 lh0812088005.mp3 not found in /root/medialab/
file27 lh0812088006.mp3 not found in /root/medialab/
file28 lh0812088007.mp3 not found in /root/medialab/
file29 lh0812088008.mp3 not found in /root/medialab/
file30 lh0812088009.mp3 not found in /root/medialab/
file31 lh0812088010.mp3 not found in /root/medialab/
file32 lh0812089001.mp3 not found in /root/medialab/
file33 lh0812089002.mp3 not found in /root/medialab/
file34 lh0812089003.mp3 not found in /root/medialab/
file35 lh0812089004.mp3 not found in /root/medialab/
file36 lh0812089005.mp3 not found in /root/medialab/
file37 lh0812089006.mp3 not found in /root/medialab/
file38 lh0812089007.mp3 not found in /root/medialab/
file39 lh0812089008.mp3 not found in /root/medialab/
file40 lh0812089009.mp3 not found in /root/medialab/
file41 lh0812089010.mp3 not found in /root/medialab/
file42 lh0812089011.mp3 not found in /root/medialab/
file43 lh0812089012.mp3 not found in /root/medialab/
file44 lh0812089013.mp3 not found in /root/medialab/
file45 lh0812089014.mp3 not found in /root/medialab/
file46 lh0812089015.mp3 not found in /root/medialab/
file47 lh0812089016.mp3 not found in /root/medialab/
file48 lh0812089017.mp3 not found in /root/medialab/
file49 lh0812089018.mp3 not found in /root/medialab/
file50 lh0812089019.mp3 not found in /root/medialab/
file51 lh0812089020.mp3 not found in /root/medialab/
file52 lh0812090001.mp3 not found in /root/medialab/
file53 lh0812090002.mp3 not found in /root/medialab/
file54 lh0812090003.mp3 not found in /root/medialab/
file55 lh0812090004.mp3 not found in /root/medialab/
file56 lh0812090005.mp3 not found in /root/medialab/
file57 lh0812090006.mp3 not found in /root/medialab/
file58 lh0812090007.mp3 not found in /root/medialab/
file59 lh0812090008.mp3 not found in /root/medialab/
file60 lh0812090009.mp3 not found in /root/medialab/
file61 lh0812090010.mp3 not found in /root/medialab/
file62 lh0812090011.mp3 not found in /root/medialab/
file63 lh0812090012.mp3 not found in /root/medialab/
file64 lh0812091001.mp3 not found in /root/medialab/
file65 lh0812091002.mp3 not found in /root/medialab/
file66 lh0812091003.mp3 not found in /root/medialab/
file67 lh0812091004.mp3 not found in /root/medialab/
file68 lh0812091005.mp3 not found in /root/medialab/
file69 lh0812091006.mp3 not found in /root/medialab/
file70 lh0812091007.mp3 not found in /root/medialab/
file71 lh0812091008.mp3 not found in /root/medialab/
file72 lh0812091009.mp3 not found in /root/medialab/
file73 lh0812091010.mp3 not found in /root/medialab/
file74 lh0812091011.mp3 not found in /root/medialab/
file75 lh0812091012.mp3 not found in /root/medialab/
file76 lh0812091013.mp3 not found in /root/medialab/
file77 lh0812091014.mp3 not found in /root/medialab/
file78 lh0812091015.mp3 not found in /root/medialab/
file79 lh0812091016.mp3 not found in /root/medialab/
file80 lh0812091017.mp3 not found in /root/medialab/
file81 lh0812091018.mp3 not found in /root/medialab/
